Claim ID,Milestone Name,Milestone Date,Duration in Stage
CLM0001,Claim Assigned,2/22/24,0
CLM0001,Initial Contact Made,2/23/24,1
CLM0001,Investigation Complete,3/8/24,14
CLM0001,Settlement Offer Made,3/18/24,10
CLM0001,Claim Closed,3/23/24,5
CLM0002,Claim Assigned,2/3/24,0
CLM0002,Initial Contact Made,2/4/24,1
CLM0002,Investigation Complete,3/9/24,34
CLM0003,Claim Assigned,3/27/24,0
CLM0003,Initial Contact Made,3/28/24,1
CLM0003,Investigation Complete,4/12/24,15
CLM0004,Claim Assigned,1/27/24,0
CLM0004,Initial Contact Made,1/28/24,1
CLM0004,Investigation Complete,3/8/24,40
CLM0004,Settlement Offer Made,3/15/24,7
CLM0005,Claim Assigned,3/8/24,0
CLM0005,Initial Contact Made,3/9/24,1
CLM0005,Investigation Complete,4/7/24,29
CLM0005,Settlement Offer Made,4/10/24,3
CLM0005,Claim Closed,4/17/24,7
CLM0006,Claim Assigned,3/6/24,0
CLM0006,Initial Contact Made,3/7/24,1
CLM0006,Investigation Complete,3/29/24,22
CLM0007,Claim Assigned,1/7/24,0
CLM0007,Initial Contact Made,1/8/24,1
CLM0007,Investigation Complete,1/21/24,13
CLM0007,Settlement Offer Made,2/3/24,13
CLM0008,Claim Assigned,1/23/24,0
CLM0008,Initial Contact Made,1/24/24,1
CLM0008,Investigation Complete,3/2/24,38
CLM0008,Settlement Offer Made,3/13/24,11
CLM0009,Claim Assigned,2/20/24,0
CLM0009,Initial Contact Made,2/21/24,1
CLM0009,Investigation Complete,3/10/24,18
CLM0010,Claim Assigned,3/22/24,0
CLM0010,Initial Contact Made,3/23/24,1
CLM0010,Investigation Complete,4/24/24,32
CLM0011,Claim Assigned,1/24/24,0
CLM0011,Initial Contact Made,1/25/24,1
CLM0011,Investigation Complete,2/14/24,20
CLM0012,Claim Assigned,1/31/24,0
CLM0012,Initial Contact Made,2/1/24,1
CLM0012,Investigation Complete,3/11/24,39
CLM0012,Settlement Offer Made,3/25/24,14
CLM0012,Claim Closed,4/7/24,13
CLM0013,Claim Assigned,3/28/24,0
CLM0013,Initial Contact Made,3/29/24,1
CLM0013,Investigation Complete,4/11/24,13
CLM0013,Settlement Offer Made,4/19/24,8
CLM0013,Claim Closed,5/2/24,13
CLM0014,Claim Assigned,3/25/24,0
CLM0014,Initial Contact Made,3/26/24,1
CLM0014,Investigation Complete,5/2/24,37
CLM0015,Claim Assigned,3/7/24,0
CLM0015,Initial Contact Made,3/8/24,1
CLM0016,Claim Assigned,1/16/24,0
CLM0016,Initial Contact Made,1/17/24,1
CLM0017,Claim Assigned,1/2/24,0
CLM0017,Initial Contact Made,1/3/24,1
CLM0017,Investigation Complete,2/3/24,31
CLM0018,Claim Assigned,1/12/24,0
CLM0018,Initial Contact Made,1/13/24,1
CLM0018,Investigation Complete,2/8/24,26
CLM0018,Settlement Offer Made,2/16/24,8
CLM0018,Claim Closed,2/23/24,7
CLM0019,Claim Assigned,2/28/24,0
CLM0019,Initial Contact Made,2/29/24,1
CLM0020,Claim Assigned,2/14/24,0
CLM0020,Initial Contact Made,2/15/24,1
CLM0021,Claim Assigned,1/21/24,0
CLM0021,Initial Contact Made,1/22/24,1
CLM0021,Investigation Complete,2/9/24,18
CLM0022,Claim Assigned,2/27/24,0
CLM0022,Initial Contact Made,2/28/24,1
CLM0022,Investigation Complete,3/17/24,18
CLM0023,Claim Assigned,3/10/24,0
CLM0023,Initial Contact Made,3/11/24,1
CLM0023,Investigation Complete,4/12/24,32
CLM0023,Settlement Offer Made,4/25/24,13
CLM0023,Claim Closed,4/29/24,4
CLM0024,Claim Assigned,1/15/24,0
CLM0024,Initial Contact Made,1/16/24,1
CLM0025,Claim Assigned,2/3/24,0
CLM0025,Initial Contact Made,2/4/24,1
CLM0025,Investigation Complete,3/11/24,36
CLM0026,Claim Assigned,1/12/24,0
CLM0026,Initial Contact Made,1/13/24,1
CLM0026,Investigation Complete,2/20/24,38
CLM0026,Settlement Offer Made,2/26/24,6
