Claim ID,Transaction Date,Transaction Type,Amount Paid,Payment Category,Payee Type,Currency
CLM001,2/1/24,Payment,5000,Repair,Vendor,USD
CLM001,2/15/24,Payment,1500,Medical,Medical Provider,USD
CLM002,3/1/24,Payment,25000,Indemnity,Policyholder,USD
CLM004,4/1/24,Payment,500,Indemnity,Policyholder,USD
CLM005,4/5/24,Payment,10000,Repair,Vendor,USD
CLM005,4/8/24,Expense,200,Legal,Legal Counsel,USD
CLM155,6/24/24,Payment,30129,Medical,Policyholder,USD
CLM017,6/11/24,Payment,40514,Repair,Vendor,USD
CLM001,2/21/24,Expense,2380,Replacement,Investigator,USD
CLM081,5/30/24,Payment,40009,Medical,Vendor,USD
CLM141,1/27/24,Payment,17168,Repair,Medical Provider,USD
CLM172,6/4/24,Payment,33931,Repair,Vendor,USD
CLM044,1/9/24,Expense,1414,Investigation,Investigator,USD
CLM172,6/2/24,Payment,3466,Legal,Vendor,USD
CLM193,5/29/24,Expense,3283,Investigation,Investigator,USD
CLM080,6/28/24,Payment,35267,Repair,Vendor,USD
CLM031,1/15/24,Expense,4942,Replacement,Legal Counsel,USD
CLM074,1/16/24,Expense,2964,Replacement,Legal Counsel,USD
CLM036,2/17/24,Payment,44701,Repair,Vendor,USD
CLM121,3/19/24,Expense,3607,Replacement,Investigator,USD
CLM092,5/15/24,Payment,48865,Indemnity,Medical Provider,USD
CLM031,3/19/24,Payment,539,Medical,Medical Provider,USD
CLM044,1/31/24,Expense,1352,Replacement,Legal Counsel,USD
CLM137,3/23/24,Expense,3923,Investigation,Investigator,USD
CLM133,1/4/24,Expense,3186,Replacement,Investigator,USD
CLM033,3/1/24,Payment,12265,Indemnity,Vendor,USD
CLM107,3/26/24,Payment,44158,Repair,Medical Provider,USD
CLM163,1/28/24,Payment,13314,Indemnity,Vendor,USD
CLM072,3/2/24,Payment,3109,Indemnity,Policyholder,USD
CLM200,5/23/24,Expense,1001,Investigation,Investigator,USD
CLM157,6/1/24,Expense,1433,Replacement,Legal Counsel,USD
CLM092,5/21/24,Payment,17168,Repair,Medical Provider,USD
CLM172,2/26/24,Expense,2517,Investigation,Legal Counsel,USD
CLM177,2/5/24,Expense,3120,Replacement,Legal Counsel,USD
CLM101,4/25/24,Payment,18140,Medical,Policyholder,USD
CLM087,4/2/24,Payment,17226,Repair,Medical Provider,USD
CLM091,1/15/24,Expense,1653,Investigation,Investigator,USD
CLM112,6/15/24,Expense,4666,Investigation,Legal Counsel,USD
CLM110,6/29/24,Payment,40100,Medical,Medical Provider,USD
CLM130,1/19/24,Expense,2400,Replacement,Investigator,USD
CLM015,5/9/24,Payment,16401,Medical,Vendor,USD
CLM158,1/29/24,Expense,1821,Replacement,Legal Counsel,USD
CLM015,6/4/24,Payment,25339,Medical,Vendor,USD
CLM053,6/9/24,Payment,12417,Medical,Vendor,USD
CLM010,3/24/24,Expense,1250,Replacement,Investigator,USD
CLM149,3/13/24,Expense,1607,Replacement,Investigator,USD
CLM114,3/19/24,Expense,2736,Investigation,Legal Counsel,USD
CLM010,3/26/24,Expense,4847,Replacement,Investigator,USD
CLM140,2/21/24,Expense,2605,Replacement,Legal Counsel,USD
CLM184,2/7/24,Expense,980,Replacement,Investigator,USD
CLM188,4/26/24,Expense,2063,Replacement,Legal Counsel,USD
CLM120,5/23/24,Expense,3014,Investigation,Legal Counsel,USD
CLM105,4/28/24,Payment,18117,Legal,Policyholder,USD
CLM199,6/17/24,Expense,4115,Investigation,Legal Counsel,USD
CLM186,4/21/24,Payment,41877,Repair,Vendor,USD
CLM001,3/25/24,Expense,1413,Investigation,Legal Counsel,USD
CLM094,4/4/24,Payment,10842,Legal,Vendor,USD
CLM024,3/10/24,Payment,10182,Legal,Policyholder,USD
CLM140,5/26/24,Expense,1508,Replacement,Investigator,USD
CLM147,2/25/24,Payment,14275,Legal,Policyholder,USD
CLM180,3/17/24,Expense,3897,Replacement,Investigator,USD
CLM003,1/11/24,Expense,2584,Investigation,Investigator,USD
CLM162,4/20/24,Expense,996,Replacement,Investigator,USD
CLM121,3/15/24,Expense,2513,Investigation,Investigator,USD
CLM089,4/12/24,Expense,4269,Replacement,Legal Counsel,USD
CLM123,1/26/24,Expense,2258,Investigation,Legal Counsel,USD
CLM190,4/26/24,Payment,15922,Medical,Medical Provider,USD
CLM098,1/23/24,Payment,26428,Medical,Medical Provider,USD
CLM032,5/25/24,Expense,4150,Replacement,Legal Counsel,USD
CLM125,5/30/24,Payment,44995,Legal,Medical Provider,USD
CLM011,6/24/24,Payment,43314,Repair,Policyholder,USD
CLM052,6/14/24,Payment,38838,Repair,Vendor,USD
CLM019,4/13/24,Expense,1239,Investigation,Investigator,USD
CLM126,5/24/24,Expense,3268,Investigation,Investigator,USD
CLM021,5/26/24,Payment,23257,Legal,Medical Provider,USD
CLM023,4/28/24,Payment,4228,Repair,Policyholder,USD
CLM033,5/7/24,Expense,3403,Replacement,Legal Counsel,USD
CLM032,1/30/24,Expense,4901,Replacement,Investigator,USD
CLM075,2/23/24,Payment,46081,Legal,Vendor,USD
CLM009,1/5/24,Payment,3731,Medical,Policyholder,USD
CLM016,5/3/24,Expense,571,Investigation,Investigator,USD
CLM154,5/23/24,Expense,4103,Investigation,Investigator,USD
CLM100,3/13/24,Expense,3402,Replacement,Investigator,USD
CLM030,3/20/24,Expense,316,Investigation,Legal Counsel,USD
CLM175,4/14/24,Payment,37219,Indemnity,Vendor,USD
CLM042,3/2/24,Expense,1177,Replacement,Legal Counsel,USD
CLM194,3/17/24,Expense,3055,Investigation,Legal Counsel,USD
CLM192,5/18/24,Expense,1904,Investigation,Investigator,USD
CLM164,4/9/24,Payment,25109,Repair,Policyholder,USD
CLM103,3/10/24,Payment,6833,Repair,Medical Provider,USD
CLM107,6/23/24,Payment,35234,Medical,Vendor,USD
CLM111,5/1/24,Expense,1820,Replacement,Investigator,USD
CLM028,4/4/24,Payment,17435,Repair,Vendor,USD
CLM044,1/27/24,Payment,32900,Indemnity,Policyholder,USD
CLM107,5/1/24,Expense,250,Replacement,Legal Counsel,USD
CLM059,1/12/24,Payment,45492,Indemnity,Medical Provider,USD
CLM161,3/9/24,Expense,1338,Replacement,Legal Counsel,USD
CLM073,1/9/24,Payment,34640,Indemnity,Policyholder,USD
CLM140,5/31/24,Expense,4873,Replacement,Investigator,USD
CLM052,3/7/24,Expense,2403,Investigation,Investigator,USD
CLM139,2/7/24,Payment,30629,Medical,Medical Provider,USD
CLM135,1/10/24,Expense,2351,Replacement,Legal Counsel,USD
CLM089,6/19/24,Payment,7921,Repair,Policyholder,USD
CLM172,4/2/24,Expense,2132,Replacement,Investigator,USD
CLM116,1/8/24,Expense,2062,Replacement,Investigator,USD
CLM068,1/22/24,Expense,4091,Replacement,Legal Counsel,USD
CLM143,5/23/24,Payment,36666,Repair,Medical Provider,USD
CLM087,6/12/24,Payment,27576,Indemnity,Vendor,USD
CLM160,5/17/24,Payment,10753,Legal,Policyholder,USD
CLM026,3/24/24,Expense,1196,Investigation,Investigator,USD
CLM106,6/14/24,Payment,28112,Medical,Vendor,USD
CLM126,6/5/24,Payment,31519,Legal,Policyholder,USD
CLM047,5/14/24,Payment,41774,Indemnity,Vendor,USD
CLM124,1/9/24,Payment,39852,Medical,Vendor,USD
CLM010,6/11/24,Expense,4026,Replacement,Legal Counsel,USD
CLM047,3/19/24,Expense,1008,Replacement,Investigator,USD
CLM098,3/19/24,Expense,2997,Replacement,Investigator,USD
CLM007,6/23/24,Payment,25237,Repair,Vendor,USD
CLM089,5/23/24,Expense,4214,Replacement,Legal Counsel,USD
CLM148,6/13/24,Expense,1760,Replacement,Legal Counsel,USD
CLM076,6/5/24,Expense,4764,Replacement,Legal Counsel,USD
CLM039,4/3/24,Expense,1286,Investigation,Investigator,USD
