Claim ID,Reserve Date,Initial Reserve Amount,Current Reserve Amount,Reserve Type
CLM001,1/16/24,7000,0,Indemnity Reserve
CLM002,2/2/24,30000,5000,Indemnity Reserve
CLM004,3/5/24,1000,500,Indemnity Reserve
CLM005,3/20/24,12000,2000,Indemnity Reserve
CLM006,4/2/24,8000,8000,Indemnity Reserve
CLM007,4/11/23,47534,19025,Indemnity Reserve
CLM008,3/16/23,11390,5899,Indemnity Reserve
CLM009,1/14/23,47422,16269,Indemnity Reserve
CLM010,1/21/24,24105,341,Indemnity Reserve
CLM011,5/16/23,20027,13667,Indemnity Reserve
CLM012,6/11/24,23374,12430,Indemnity Reserve
CLM013,5/11/23,24207,8551,Indemnity Reserve
CLM014,12/26/23,29942,15072,Indemnity Reserve
CLM015,3/31/24,21099,3407,Indemnity Reserve
CLM016,12/9/23,6099,574,Indemnity Reserve
CLM017,8/22/23,34948,2990,Indemnity Reserve
CLM018,3/25/23,26746,1162,Indemnity Reserve
CLM019,8/15/23,23320,3171,Indemnity Reserve
CLM020,4/15/24,30144,20331,Indemnity Reserve
CLM021,4/12/23,38352,13692,Indemnity Reserve
CLM022,4/26/23,37896,37347,Indemnity Reserve
CLM023,5/18/23,49555,29824,Indemnity Reserve
CLM024,6/16/24,34921,12909,Indemnity Reserve
CLM025,6/4/23,42001,28886,Indemnity Reserve
CLM026,1/3/23,20060,8036,Indemnity Reserve
CLM027,2/22/23,33843,23606,Indemnity Reserve
CLM028,8/14/23,29883,2351,Indemnity Reserve
CLM029,7/17/23,38564,24918,Indemnity Reserve
CLM030,4/9/24,22136,9412,Indemnity Reserve
CLM031,6/27/24,19377,7030,Indemnity Reserve
CLM032,7/9/23,1318,486,Indemnity Reserve
CLM033,10/13/23,22808,14394,Indemnity Reserve
CLM034,4/5/24,13302,11793,Indemnity Reserve
CLM035,5/14/23,32803,27921,Indemnity Reserve
CLM036,5/17/23,8870,7389,Indemnity Reserve
CLM037,3/9/24,31565,2741,Indemnity Reserve
CLM038,2/14/24,23604,10280,Indemnity Reserve
CLM039,6/25/23,43303,36006,Indemnity Reserve
CLM040,2/26/24,5528,2492,Indemnity Reserve
CLM041,3/27/24,49822,39076,Indemnity Reserve
CLM042,11/3/23,9772,6813,Indemnity Reserve
CLM043,1/3/24,22558,21150,Indemnity Reserve
CLM044,3/28/24,12103,10540,Indemnity Reserve
CLM045,12/5/23,31733,23876,Indemnity Reserve
CLM046,11/18/23,14393,10429,Indemnity Reserve
CLM047,12/11/23,49132,26355,Indemnity Reserve
CLM048,5/22/23,33229,19714,Indemnity Reserve
CLM049,6/30/24,45430,25015,Indemnity Reserve
CLM050,1/17/24,49472,31424,Indemnity Reserve
CLM051,4/9/24,16893,8419,Indemnity Reserve
CLM052,2/27/24,3882,3314,Indemnity Reserve
CLM053,9/14/23,19676,13428,Indemnity Reserve
CLM054,6/2/23,2958,60,Indemnity Reserve
CLM055,12/22/23,9562,7497,Indemnity Reserve
CLM056,1/30/24,17941,9913,Indemnity Reserve
CLM057,2/27/24,11319,5512,Indemnity Reserve
CLM058,5/26/24,11736,2670,Indemnity Reserve
CLM059,12/6/23,31270,21650,Indemnity Reserve
CLM060,6/27/23,17440,4325,Indemnity Reserve
CLM061,12/18/23,36982,32697,Indemnity Reserve
CLM062,2/27/23,34936,33814,Indemnity Reserve
CLM063,4/17/24,5801,2269,Indemnity Reserve
CLM064,5/16/24,38468,28775,Indemnity Reserve
CLM065,6/30/24,43075,19986,Indemnity Reserve
CLM066,4/7/23,6510,5173,Indemnity Reserve
CLM067,3/21/24,17468,1730,Indemnity Reserve
CLM068,5/29/24,13233,10366,Indemnity Reserve
CLM069,10/7/23,35829,32654,Indemnity Reserve
CLM070,9/4/23,47796,47330,Indemnity Reserve
CLM071,3/8/24,32177,24172,Indemnity Reserve
CLM072,2/13/24,35507,14861,Indemnity Reserve
CLM073,3/27/24,28878,27771,Indemnity Reserve
CLM074,5/5/23,48116,24330,Indemnity Reserve
CLM075,2/6/24,38612,43,Indemnity Reserve
CLM076,5/18/24,13323,5190,Indemnity Reserve
CLM077,6/21/24,32679,25477,Indemnity Reserve
CLM078,1/29/23,25037,1148,Indemnity Reserve
CLM079,6/6/23,45144,32429,Indemnity Reserve
CLM080,12/22/23,25242,17407,Indemnity Reserve
CLM081,6/27/24,35898,29259,Indemnity Reserve
CLM082,2/19/24,13189,12491,Indemnity Reserve
CLM083,6/12/23,2669,622,Indemnity Reserve
CLM084,6/8/24,7951,3091,Indemnity Reserve
CLM085,11/22/23,48995,44662,Indemnity Reserve
CLM086,1/25/23,13632,8670,Indemnity Reserve
CLM087,4/25/24,42196,40796,Indemnity Reserve
CLM088,1/10/24,37010,12535,Indemnity Reserve
CLM089,4/29/23,48659,28189,Indemnity Reserve
CLM090,4/14/24,43995,39745,Indemnity Reserve
CLM091,12/1/23,39400,34587,Indemnity Reserve
CLM092,5/16/23,3904,1746,Indemnity Reserve
CLM093,1/19/24,38434,20641,Indemnity Reserve
CLM094,5/20/24,3135,371,Indemnity Reserve
CLM095,4/20/23,35730,28225,Indemnity Reserve
CLM096,2/21/23,4791,696,Indemnity Reserve
CLM097,10/3/23,13385,5669,Indemnity Reserve
CLM098,4/16/24,27380,12829,Indemnity Reserve
CLM099,2/13/24,25874,17411,Indemnity Reserve
CLM100,7/20/23,10725,3723,Indemnity Reserve
CLM101,1/22/24,15276,3649,Indemnity Reserve
CLM102,1/2/23,10515,10320,Indemnity Reserve
CLM103,4/4/24,35094,1112,Indemnity Reserve
CLM104,2/7/24,9443,5536,Indemnity Reserve
CLM105,7/25/23,43203,39239,Indemnity Reserve
CLM106,4/11/23,22981,4747,Indemnity Reserve
CLM107,1/13/24,46802,15283,Indemnity Reserve
CLM108,7/27/23,15722,5510,Indemnity Reserve
CLM109,11/9/23,31169,20166,Indemnity Reserve
CLM110,9/13/23,28059,10691,Indemnity Reserve
CLM111,3/31/24,39035,9979,Indemnity Reserve
CLM112,12/22/23,36525,12950,Indemnity Reserve
CLM113,7/7/23,14051,7404,Indemnity Reserve
CLM114,6/11/24,26345,8347,Indemnity Reserve
CLM115,2/14/23,8557,2431,Indemnity Reserve
CLM116,7/28/23,37719,20944,Indemnity Reserve
CLM117,12/28/23,30983,14839,Indemnity Reserve
CLM118,10/16/23,21073,9093,Indemnity Reserve
CLM119,8/11/23,13970,7479,Indemnity Reserve
CLM120,7/23/23,42326,17189,Indemnity Reserve
CLM121,10/17/23,26608,3290,Indemnity Reserve
CLM122,3/30/24,27720,20814,Indemnity Reserve
CLM123,5/5/24,29561,6520,Indemnity Reserve
CLM124,10/7/23,34754,24832,Indemnity Reserve
CLM125,6/24/23,10934,10019,Indemnity Reserve
CLM126,1/22/24,31132,30925,Indemnity Reserve
CLM127,1/29/23,43713,20053,Indemnity Reserve
CLM128,5/22/23,33989,29381,Indemnity Reserve
CLM129,6/9/24,1949,861,Indemnity Reserve
CLM130,3/17/24,24391,3657,Indemnity Reserve
CLM131,3/19/23,1032,72,Indemnity Reserve
CLM132,5/19/23,7397,2927,Indemnity Reserve
CLM133,5/9/24,48364,1263,Indemnity Reserve
CLM134,11/30/23,44869,24443,Indemnity Reserve
CLM135,5/18/23,9213,5696,Indemnity Reserve
CLM136,1/12/24,12641,393,Indemnity Reserve
CLM137,1/20/23,45437,32226,Indemnity Reserve
CLM138,3/2/23,42709,31079,Indemnity Reserve
CLM139,3/26/24,1496,1396,Indemnity Reserve
CLM140,12/13/23,21929,12781,Indemnity Reserve
CLM141,3/4/24,30366,22327,Indemnity Reserve
CLM142,10/8/23,44192,30310,Indemnity Reserve
CLM143,4/4/23,48722,35696,Indemnity Reserve
CLM144,10/9/23,26276,12697,Indemnity Reserve
CLM145,1/11/23,18531,15309,Indemnity Reserve
