Policy Number,Policy Effective Date,Policy Expiration Date,Product Name/Type,Coverage Limits,Deductible Amount,Premium Amount,Agent/Broker ID,Underwriting Segment/Risk Class
POL78901,11/14/22,11/13/23,Auto Standard,100000,500,1200,AGT102,Standard
POL78902,3/23/22,3/22/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL78903,3/24/23,3/22/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL78904,11/2/23,10/31/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL78905,10/12/23,10/10/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL78906,9/12/22,9/11/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL78907,7/9/23,7/7/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL78908,4/28/23,4/26/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL78909,8/13/23,8/11/24,Auto Standard,100000,500,1200,AGT102,Standard
POL78910,6/5/23,6/3/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL78911,8/6/23,8/4/24,Auto Standard,100000,500,1200,AGT102,Standard
POL78912,12/8/23,12/6/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL78913,12/23/23,12/21/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL78914,6/3/22,6/2/23,Health Basic,5000,250,500,AGT102,Standard
POL78915,4/20/22,4/19/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL78916,10/18/23,10/16/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL78917,11/10/22,11/9/23,Auto Standard,100000,500,1200,AGT101,Standard
POL78918,6/16/22,6/15/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL78919,1/22/22,1/21/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL78920,9/18/23,9/16/24,Health Basic,5000,250,500,AGT101,Standard
POL78921,2/11/22,2/10/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL78922,7/6/22,7/5/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL78923,5/11/22,5/10/23,Health Basic,5000,250,500,AGT102,Standard
POL78924,8/28/23,8/26/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL78925,6/29/23,6/27/24,Auto Standard,100000,500,1200,AGT102,Standard
POL78926,5/29/23,5/27/24,Auto Standard,100000,500,1200,AGT103,Standard
POL78927,10/27/22,10/26/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL78928,7/14/23,7/12/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL78929,6/10/23,6/8/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL78930,6/26/22,6/25/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL78931,4/21/22,4/20/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL78932,5/16/23,5/14/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL78933,10/12/22,10/11/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL78934,1/13/22,1/12/23,Health Basic,5000,250,500,AGT103,Standard
POL78935,4/21/23,4/19/24,Auto Standard,100000,500,1200,AGT102,Standard
POL78936,6/26/22,6/25/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL78937,9/19/22,9/18/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL78938,3/31/22,3/30/23,Auto Standard,100000,500,1200,AGT102,Standard
POL78939,7/17/22,7/16/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL78940,1/17/22,1/16/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL78941,3/2/23,2/29/24,Health Basic,5000,250,500,AGT103,Standard
POL78942,1/3/22,1/2/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL78943,1/7/22,1/6/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL78944,2/19/23,2/18/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL78945,5/14/22,5/13/23,Health Basic,5000,250,500,AGT102,Standard
POL78946,5/25/22,5/24/23,Auto Standard,100000,500,1200,AGT102,Standard
POL78947,3/10/22,3/9/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL78948,11/9/22,11/8/23,Auto Standard,100000,500,1200,AGT102,Standard
POL78949,5/6/22,5/5/23,Auto Standard,100000,500,1200,AGT101,Standard
