Insured/Policyholder ID,Demographics,Location,Customer Segment,Years as Customer,Number of Policies Held,Previous Claims History
INS54321,"45, Male, Married","Atlanta, GA, 30303",Standard,5,2,"1 prior claim, $2000 total paid"
INS54322,"55, Female, Single","Macon, GA, 31201",High Value,10,1,0 prior claims
INS54323,"30, Female, Married","Savannah, GA, 31401",Standard,2,1,0 prior claims
INS54324,"60, Male, Single","Augusta, GA, 30901",Standard,7,1,"2 prior claims, $15000 total paid"
INS54325,"40, Male, Married","Columbus, GA, 31901",Standard,3,1,0 prior claims
INS54326,"60, Male, Single","Athens, GA, 30601",Commercial,13,2,"1 prior claim, $5000 total paid"
INS54327,"55, Female, Single","Augusta, GA, 30901",Small Business,20,3,"1 prior claim, $5000 total paid"
INS54328,"28, Female, Single","Macon, GA, 31201",Small Business,4,3,"1 prior claim, $5000 total paid"
INS54329,"30, Female, Married","Savannah, GA, 31401",Commercial,3,4,"2 prior claims, $15000 total paid"
INS54330,"40, Male, Married","Atlanta, GA, 30303",Commercial,9,3,"2 prior claims, $15000 total paid"
INS54331,"30, Female, Married","Albany, GA, 31701",High Value,10,1,"1 prior claim, $5000 total paid"
INS54332,"28, Female, Single","Savannah, GA, 31401",Standard,19,2,0 prior claims
INS54333,"60, Male, Single","Macon, GA, 31201",Small Business,20,3,"1 prior claim, $5000 total paid"
INS54334,"60, Male, Single","Augusta, GA, 30901",High Value,18,3,"1 prior claim, $5000 total paid"
INS54335,"40, Male, Married","Roswell, GA, 30075",Commercial,19,3,"3 prior claims, $20000 total paid"
INS54336,"40, Male, Married","Athens, GA, 30601",Small Business,14,4,"1 prior claim, $2000 total paid"
INS54337,"40, Male, Married","Macon, GA, 31201",Standard,8,4,"1 prior claim, $2000 total paid"
INS54338,"55, Female, Single","Savannah, GA, 31401",Small Business,17,4,0 prior claims
INS54339,"40, Male, Married","Albany, GA, 31701",High Value,11,1,"3 prior claims, $20000 total paid"
INS54340,"60, Male, Single","Atlanta, GA, 30303",High Value,2,4,"2 prior claims, $15000 total paid"
INS54341,"35, Male, Single","Albany, GA, 31701",Standard,18,2,"3 prior claims, $20000 total paid"
INS54342,"35, Male, Single","Savannah, GA, 31401",Standard,5,1,"2 prior claims, $15000 total paid"
INS54343,"35, Male, Single","Savannah, GA, 31401",Commercial,15,2,"2 prior claims, $15000 total paid"
INS54344,"28, Female, Single","Columbus, GA, 31901",Small Business,19,2,"2 prior claims, $15000 total paid"
INS54345,"28, Female, Single","Athens, GA, 30601",Standard,11,3,"1 prior claim, $5000 total paid"
INS54346,"60, Male, Single","Albany, GA, 31701",High Value,9,1,"3 prior claims, $20000 total paid"
INS54347,"40, Male, Married","Augusta, GA, 30901",Standard,15,3,0 prior claims
INS54348,"28, Female, Single","Atlanta, GA, 30303",Standard,6,2,"3 prior claims, $20000 total paid"
INS54349,"45, Male, Married","Savannah, GA, 31401",Small Business,12,3,"1 prior claim, $2000 total paid"
INS54350,"45, Male, Married","Roswell, GA, 30075",Small Business,2,2,"3 prior claims, $20000 total paid"
INS54351,"55, Female, Single","Atlanta, GA, 30303",Standard,16,2,"1 prior claim, $2000 total paid"
INS54352,"35, Male, Single","Savannah, GA, 31401",Commercial,11,4,0 prior claims
INS54353,"40, Male, Married","Athens, GA, 30601",Standard,1,4,"3 prior claims, $20000 total paid"
INS54354,"50, Female, Married","Macon, GA, 31201",Standard,15,1,"1 prior claim, $2000 total paid"
INS54355,"28, Female, Single","Augusta, GA, 30901",High Value,3,2,"2 prior claims, $15000 total paid"
INS54356,"28, Female, Single","Roswell, GA, 30075",Commercial,5,4,"3 prior claims, $20000 total paid"
