Product ID,Location ID,Date,On-Hand Quantity,Available Quantity,In-Transit Quantity,Safety Stock Level,Reorder Point,Inventory Value,Inventory Status
PROD004,RTL02,6/30/25,292,276,83,95,108,"11,408",Available
PROD004,WH002,7/5/25,657,602,20,18,33,"13,402",Available
PROD001,RTL02,6/14/25,108,51,149,12,44,"28,146",Available
PROD004,WH001,6/20/25,998,963,12,121,107,"14,334",Available
PROD001,WH002,6/19/25,648,578,101,137,115,"10,853",Available
PROD001,RTL01,7/7/25,747,708,166,106,199,"46,513",Available
PROD004,WH001,6/14/25,433,364,186,84,95,"45,184",Available
PROD004,WH002,6/12/25,646,583,105,115,31,"45,847",Available
PROD005,WH001,7/1/25,135,79,38,104,126,"41,499",Out of Stock
PROD003,WH002,6/20/25,320,220,92,25,41,"26,455",Available
PROD002,WH001,7/2/25,805,732,53,58,52,"24,567",Available
PROD002,RTL02,6/23/25,915,842,94,103,126,"13,962",Available
PROD002,WH001,6/15/25,830,822,105,19,166,"36,486",Available
PROD003,WH002,6/22/25,821,805,183,72,148,"10,856",Available
PROD001,RTL01,6/25/25,506,409,26,82,124,"34,214",Available
PROD002,RTL01,7/8/25,724,715,66,27,109,"34,434",Available
PROD003,RTL01,6/25/25,701,615,72,144,66,"29,013",Available
PROD003,WH002,6/27/25,356,309,37,45,176,"43,706",Available
PROD002,WH002,7/7/25,785,768,154,52,197,"27,157",Available
PROD005,RTL01,6/21/25,123,65,173,138,115,"31,116",Available
PROD003,RTL01,6/16/25,239,222,173,66,103,"49,195",Available
PROD002,WH002,7/2/25,946,879,87,91,81,"23,367",Available
PROD003,RTL01,6/14/25,571,494,54,92,199,"35,381",Available
PROD003,RTL01,7/9/25,853,764,177,83,70,"14,589",Available
PROD005,RTL02,6/27/25,479,430,137,83,40,"6,115",Available
PROD005,WH001,6/16/25,156,127,20,82,139,"41,723",Available
PROD005,RTL01,6/12/25,583,532,139,46,85,"28,551",Available
PROD005,WH001,6/22/25,237,198,185,53,14,"49,728",Available
PROD003,WH001,6/21/25,727,657,11,122,62,"15,611",Available
PROD001,RTL02,7/7/25,370,333,40,115,22,"25,947",Available
PROD005,WH002,6/17/25,597,518,171,43,88,"38,694",Available
PROD001,WH002,6/28/25,530,451,187,50,166,"48,703",Available
PROD004,WH001,6/27/25,995,973,152,58,197,"46,522",Available
PROD002,RTL02,6/26/25,854,849,163,82,147,"27,235",Available
PROD005,WH002,6/15/25,856,834,56,90,148,"44,624",Available
PROD003,RTL01,7/5/25,858,847,7,21,41,"6,508",Available
PROD005,WH001,6/27/25,166,145,77,104,56,"44,192",Available
PROD001,WH002,7/1/25,578,548,41,56,128,"3,240",Available
PROD004,WH001,7/3/25,491,470,26,104,49,"35,983",Available
PROD004,WH002,6/22/25,70,66,142,56,58,"39,090",Available
PROD002,RTL02,7/2/25,440,408,65,94,16,"17,461",Available
PROD001,RTL01,7/4/25,579,577,91,79,177,"39,335",Available
PROD001,WH001,6/30/25,229,164,181,23,143,"8,871",Available
PROD002,WH002,7/6/25,376,285,112,103,29,"35,087",Available
PROD004,RTL02,7/8/25,241,166,141,117,38,"7,531",Available
PROD001,RTL01,7/9/25,112,54,89,62,149,"3,460",Low
PROD003,RTL02,6/24/25,767,669,34,86,148,"2,301",Available
PROD002,WH002,6/22/25,828,794,137,127,92,"25,681",Available
PROD001,RTL01,6/27/25,155,65,119,144,42,"14,999",Available
PROD004,RTL01,7/8/25,182,123,62,77,34,"10,155",Available
PROD001,RTL02,6/14/25,738,699,117,122,189,"49,635",Available
PROD003,RTL02,6/14/25,429,362,125,143,92,"39,517",Available
PROD005,RTL02,6/30/25,884,860,98,75,31,"20,169",Available
PROD002,RTL02,6/14/25,449,430,79,150,77,"8,370",Available
PROD004,RTL02,6/30/25,797,783,166,66,17,"25,027",Available
PROD004,WH002,6/17/25,741,692,121,141,128,"30,553",Available
PROD005,RTL02,6/22/25,873,819,154,62,148,"37,379",Available
PROD004,WH001,6/12/25,552,493,119,35,25,"17,611",Available
PROD001,RTL01,7/2/25,595,585,97,148,174,"38,937",Available
PROD003,RTL01,7/8/25,334,307,95,10,178,"49,076",Available
PROD002,RTL01,7/7/25,371,303,40,73,116,"6,652",Available
PROD005,RTL01,6/16/25,451,418,139,17,89,"28,890",Available
PROD004,RTL02,7/2/25,327,270,101,88,55,"35,200",Available
PROD005,RTL01,6/18/25,310,259,168,102,179,"22,503",Available
PROD002,RTL02,6/21/25,786,785,41,57,92,"7,723",Available
PROD004,WH001,6/22/25,207,183,68,44,93,"13,410",Available
PROD004,RTL01,6/14/25,690,643,190,94,120,"36,876",Available
PROD004,RTL01,6/26/25,61,36,42,74,59,"20,268",Available
PROD005,RTL02,6/17/25,123,55,99,31,89,"45,835",Available
PROD003,RTL01,6/27/25,62,23,86,10,51,"37,696",Available
PROD005,RTL02,7/1/25,182,104,45,95,145,"3,117",Available
PROD005,RTL02,6/18/25,560,524,64,52,180,"22,874",Available
PROD003,WH002,6/11/25,438,339,137,19,100,"11,860",Available
PROD004,RTL01,6/23/25,154,56,127,147,171,"35,721",Available
PROD003,WH001,7/5/25,77,20,13,101,136,"31,596",Low
PROD005,WH001,6/15/25,880,843,135,23,124,"24,495",Available
PROD004,RTL01,7/1/25,708,643,109,143,189,"31,424",Available
PROD002,RTL02,7/6/25,390,307,26,38,24,"3,963",Available
PROD002,WH001,6/19/25,803,766,56,106,57,"26,339",Available
PROD004,RTL01,6/20/25,751,696,16,33,197,"31,184",Available
PROD005,WH001,6/27/25,786,762,164,14,20,"17,732",Available
PROD001,RTL02,7/1/25,231,166,92,27,119,"20,004",Available
PROD001,WH002,7/8/25,206,203,130,85,40,"15,275",Available
PROD001,RTL02,7/9/25,677,605,26,146,176,"10,287",Available
PROD002,RTL01,6/25/25,80,18,172,105,93,"34,947",Available
PROD002,RTL01,6/10/25,432,339,99,98,59,"16,559",Available
PROD001,RTL02,7/9/25,968,943,142,71,94,"44,080",Available
PROD001,RTL01,6/30/25,644,556,52,125,112,"28,015",Available
PROD005,RTL01,6/13/25,494,415,114,14,28,"14,259",Available
PROD003,RTL01,6/15/25,656,615,168,145,85,"40,482",Available
PROD001,RTL01,6/12/25,119,66,188,142,177,"14,739",Out of Stock
PROD004,WH001,6/18/25,509,491,3,139,188,"13,411",Available
PROD001,RTL02,6/23/25,976,925,126,70,148,"30,097",Available
PROD003,WH002,6/28/25,800,719,24,130,18,"35,825",Available
PROD004,RTL02,7/9/25,215,202,7,55,36,"19,508",Available
PROD004,RTL01,6/23/25,289,202,19,31,49,"3,802",Available
PROD002,WH001,6/18/25,962,874,155,123,13,"33,452",Available
PROD003,RTL01,7/7/25,860,852,32,94,48,"26,783",Available
PROD002,RTL02,7/5/25,216,165,154,147,30,"42,495",Available
PROD003,WH002,6/27/25,940,865,192,21,78,"17,425",Available
PROD002,RTL01,6/26/25,636,628,59,65,29,"2,374",Available
PROD001,RTL02,7/3/25,582,552,5,125,13,"46,438",Available
PROD004,RTL01,6/20/25,734,655,90,71,190,"4,323",Available
PROD001,RTL01,6/23/25,790,704,194,111,75,"47,860",Available
PROD003,WH001,6/21/25,51,0,53,33,99,"12,872",Low
PROD004,WH001,6/20/25,921,893,104,109,156,"25,078",Available
PROD001,WH002,6/12/25,728,727,16,43,132,"15,744",Available
PROD004,RTL02,6/25/25,363,290,128,112,56,"18,763",Available
PROD002,WH001,7/7/25,309,261,194,20,122,"9,906",Available
PROD003,RTL02,7/2/25,130,71,176,38,11,"49,470",Available
PROD004,WH001,6/30/25,546,536,57,128,133,"38,617",Available
PROD005,RTL01,7/8/25,937,915,43,93,83,"35,755",Available
PROD001,WH002,7/8/25,179,153,0,32,69,"43,508",Available
PROD005,WH001,7/10/25,977,882,130,24,115,"19,587",Available
PROD003,RTL02,7/3/25,679,662,152,120,69,"20,779",Available
PROD005,WH001,6/18/25,569,551,167,87,13,"44,864",Available
PROD002,WH001,7/7/25,696,656,151,45,85,"32,185",Available
PROD004,WH001,6/23/25,866,824,104,76,11,"2,579",Available
PROD001,WH001,6/23/25,213,135,118,32,184,"2,706",Available
PROD002,RTL01,7/8/25,86,43,1,51,14,"28,076",Out of Stock
PROD005,WH001,6/30/25,439,410,14,17,18,"33,562",Available
PROD003,WH002,6/11/25,700,637,101,112,10,"12,957",Available
PROD003,RTL02,6/10/25,242,185,9,28,134,"25,281",Available
PROD002,WH002,7/5/25,396,379,128,92,57,"33,179",Available
PROD005,RTL02,6/27/25,873,861,16,63,160,"4,645",Available
PROD005,RTL01,7/7/25,607,525,74,88,144,"35,297",Available
PROD004,RTL01,6/15/25,122,36,34,60,125,"34,780",Available
PROD005,RTL02,6/20/25,750,741,139,144,162,"2,604",Available
PROD002,RTL02,6/29/25,824,760,130,16,154,"38,901",Available
PROD005,WH002,7/10/25,741,646,36,139,64,"7,813",Available
PROD004,RTL02,7/1/25,471,433,175,55,77,"22,873",Available
PROD004,RTL02,7/9/25,372,299,24,148,90,"2,678",Available
PROD002,WH001,6/27/25,752,716,144,58,79,"15,151",Available
PROD002,WH002,7/2/25,393,316,140,85,122,"6,283",Available
PROD003,RTL01,6/30/25,65,54,183,76,56,"6,692",Low
PROD002,RTL02,6/29/25,807,720,123,148,164,"1,964",Available
PROD001,WH002,7/1/25,318,222,112,58,173,"49,561",Available
PROD003,WH002,7/9/25,638,542,187,117,151,"10,536",Available
PROD005,WH001,6/18/25,169,161,3,116,81,"7,814",Available
PROD003,RTL01,7/1/25,676,655,71,41,181,"3,253",Available
PROD003,RTL02,6/11/25,373,364,35,42,128,"17,982",Available
PROD001,RTL02,7/2/25,608,579,6,118,97,"33,195",Available
PROD001,WH001,7/4/25,644,635,113,92,83,"12,715",Available
PROD002,RTL01,6/13/25,160,109,191,68,95,"3,867",Available
PROD004,WH001,6/14/25,562,476,168,108,106,"3,865",Available
PROD004,WH002,6/28/25,151,136,35,11,160,"39,682",Available
PROD004,WH001,6/28/25,623,580,57,81,174,"42,950",Available
PROD001,RTL01,7/10/25,863,835,19,102,36,"37,611",Available
PROD003,RTL01,6/29/25,136,79,153,100,118,"40,320",Available
PROD002,RTL02,6/12/25,526,465,96,111,172,"42,993",Available
PROD004,WH002,6/19/25,888,859,183,18,149,"4,966",Available
PROD003,RTL02,6/11/25,205,109,155,73,180,"4,389",Available
