Shipment ID,Order ID,Product ID,Origin Location ID,Destination Location ID,Carrier ID,Planned Ship Date,Actual Ship Date,Planned Delivery Date,Actual Delivery Date,Delivery Status,Quantity Shipped,Transportation Cost,Freight Type,Tracking Number,Reason for Delay
SHIP0001,ORD00637,PROD001,WH001,CUST200_ADDR,CAR002,6/10/25,6/10/25,6/12/25,6/12/25,Delivered,64,1129,Ground,TRK47309,N/A
SHIP0002,ORD05729,PROD004,WH002,CUST103_ADDR,CAR003,6/3/25,6/4/25,6/7/25,6/7/25,Delivered,36,937,Ground,TRK24638,N/A
SHIP0003,ORD02703,PROD001,WH003,CUST168_ADDR,CAR002,6/5/25,6/6/25,6/9/25,6/9/25,Delivered,110,859,Rail,TRK38370,N/A
SHIP0004,ORD03504,PROD002,WH002,CUST182_ADDR,CAR001,5/19/25,5/19/25,5/24/25,5/26/25,Delayed,38,479,Air,TRK18820,Mechanical
SHIP0005,ORD03960,PROD004,WH003,CUST143_ADDR,CAR004,5/24/25,5/25/25,5/27/25,5/27/25,Delivered,154,1427,Ground,TRK92317,N/A
SHIP0006,ORD03695,PROD003,WH002,CUST141_ADDR,CAR003,5/15/25,5/16/25,5/22/25,5/24/25,Delayed,181,1197,Air,TRK14906,Customs
SHIP0007,ORD00440,PROD003,WH002,CUST168_ADDR,CAR004,6/10/25,6/10/25,6/17/25,6/17/25,Delivered,157,1458,Ground,TRK83406,N/A
SHIP0008,ORD02790,PROD002,WH002,CUST141_ADDR,CAR002,5/22/25,5/22/25,5/25/25,5/25/25,Delivered,24,724,LTL,TRK28974,N/A
SHIP0009,ORD03179,PROD002,WH003,CUST129_ADDR,CAR002,6/8/25,6/8/25,6/14/25,6/14/25,Delivered,56,1731,Rail,TRK10819,N/A
SHIP0010,ORD04572,PROD003,WH003,CUST125_ADDR,CAR001,6/2/25,6/3/25,6/9/25,6/9/25,Delivered,31,1527,Rail,TRK02396,N/A
SHIP0011,ORD02960,PROD002,WH002,CUST131_ADDR,CAR002,5/16/25,5/16/25,5/22/25,5/22/25,Delivered,200,423,Ground,TRK54121,N/A
SHIP0012,ORD02778,PROD002,WH003,CUST137_ADDR,CAR002,5/19/25,5/19/25,5/22/25,5/22/25,Delivered,174,1347,Air,TRK64068,N/A
SHIP0013,ORD05701,PROD005,WH001,CUST159_ADDR,CAR002,5/21/25,5/21/25,5/26/25,5/26/25,Delivered,33,670,LTL,TRK59866,N/A
SHIP0014,ORD04820,PROD005,WH002,CUST103_ADDR,CAR002,6/8/25,6/8/25,6/11/25,6/11/25,Delivered,37,669,LTL,TRK08567,N/A
SHIP0015,ORD03491,PROD002,WH001,CUST123_ADDR,CAR002,5/19/25,5/20/25,5/23/25,5/22/25,Delivered,35,1744,Ground,TRK57026,N/A
SHIP0016,ORD02352,PROD004,WH001,CUST119_ADDR,CAR001,5/18/25,5/18/25,5/25/25,5/25/25,Delivered,104,1612,LTL,TRK51365,N/A
SHIP0017,ORD04190,PROD003,WH001,CUST184_ADDR,CAR003,6/9/25,6/9/25,6/12/25,6/12/25,Delivered,30,1355,Rail,TRK55330,N/A
SHIP0018,ORD00703,PROD001,WH001,CUST116_ADDR,CAR003,5/31/25,5/31/25,6/7/25,6/8/25,Delayed,70,1728,Air,TRK61317,Weather
SHIP0019,ORD05495,PROD004,WH002,CUST150_ADDR,CAR002,6/9/25,6/9/25,6/12/25,6/12/25,Delivered,189,1330,Air,TRK33840,N/A
SHIP0020,ORD05277,PROD003,WH003,CUST111_ADDR,CAR002,5/20/25,5/20/25,5/24/25,5/24/25,Delivered,108,1117,LTL,TRK86780,N/A
SHIP0021,ORD05861,PROD003,WH003,CUST160_ADDR,CAR003,5/30/25,5/30/25,6/1/25,6/2/25,Delayed,130,1592,LTL,TRK80505,Mechanical
SHIP0022,ORD03645,PROD004,WH002,CUST195_ADDR,CAR002,5/15/25,5/15/25,5/17/25,5/17/25,Delivered,156,1054,Air,TRK71089,N/A
SHIP0023,ORD00367,PROD005,WH003,CUST160_ADDR,CAR001,5/22/25,5/22/25,5/26/25,5/26/25,Delivered,60,446,LTL,TRK67656,N/A
SHIP0024,ORD04283,PROD003,WH003,CUST120_ADDR,CAR003,5/22/25,5/23/25,5/26/25,5/26/25,Delivered,200,1212,Air,TRK26278,N/A
SHIP0025,ORD05875,PROD005,WH002,CUST150_ADDR,CAR001,6/9/25,6/9/25,6/14/25,6/15/25,Delayed,173,556,Rail,TRK93451,Mechanical
SHIP0026,ORD01830,PROD005,WH003,CUST115_ADDR,CAR004,6/5/25,6/6/25,6/12/25,6/14/25,Delayed,36,1513,LTL,TRK74089,Customs
SHIP0027,ORD02226,PROD004,WH002,CUST150_ADDR,CAR004,6/12/25,6/12/25,6/18/25,6/20/25,Delayed,140,704,Ground,TRK54771,Traffic
SHIP0028,ORD04581,PROD001,WH001,CUST146_ADDR,CAR004,5/31/25,5/31/25,6/6/25,6/8/25,Delayed,189,806,Ground,TRK54120,Traffic
SHIP0029,ORD04872,PROD002,WH003,CUST111_ADDR,CAR002,5/21/25,5/21/25,5/27/25,5/28/25,Delayed,82,474,Air,TRK29474,Customs
SHIP0030,ORD02447,PROD004,WH001,CUST174_ADDR,CAR001,6/2/25,6/2/25,6/5/25,6/6/25,Delayed,195,1318,Air,TRK37433,Weather
SHIP0031,ORD05841,PROD001,WH001,CUST117_ADDR,CAR001,6/1/25,6/1/25,6/6/25,6/6/25,Delivered,123,803,Ground,TRK07262,N/A
SHIP0032,ORD04570,PROD002,WH002,CUST164_ADDR,CAR002,6/14/25,6/14/25,6/19/25,6/19/25,Delivered,164,1147,Air,TRK46324,N/A
SHIP0033,ORD03007,PROD005,WH003,CUST158_ADDR,CAR002,6/14/25,6/15/25,6/17/25,6/17/25,Delivered,75,1936,Rail,TRK32562,N/A
SHIP0034,ORD05350,PROD001,WH003,CUST126_ADDR,CAR003,5/17/25,5/17/25,5/23/25,5/24/25,Delayed,101,1658,Air,TRK31640,Customs
SHIP0035,ORD03211,PROD002,WH003,CUST170_ADDR,CAR003,5/29/25,5/29/25,6/4/25,6/5/25,Delayed,62,1693,LTL,TRK39186,Customs
SHIP0036,ORD04037,PROD005,WH003,CUST151_ADDR,CAR004,5/28/25,5/29/25,6/2/25,6/1/25,Delivered,168,622,LTL,TRK73642,N/A
SHIP0037,ORD01379,PROD005,WH003,CUST123_ADDR,CAR003,5/25/25,5/25/25,5/29/25,5/29/25,Delivered,33,1026,Rail,TRK47979,N/A
SHIP0038,ORD04000,PROD001,WH002,CUST164_ADDR,CAR003,5/20/25,5/20/25,5/23/25,5/23/25,Delivered,68,1652,Rail,TRK02976,N/A
SHIP0039,ORD02712,PROD004,WH003,CUST199_ADDR,CAR004,5/17/25,5/17/25,5/23/25,5/24/25,Delayed,52,1809,Air,TRK35008,Weather
SHIP0040,ORD05053,PROD004,WH003,CUST140_ADDR,CAR001,5/19/25,5/19/25,5/24/25,5/24/25,Delivered,126,1711,Air,TRK71188,N/A
SHIP0041,ORD05423,PROD002,WH001,CUST162_ADDR,CAR003,5/19/25,5/19/25,5/21/25,5/21/25,Delivered,129,1925,Air,TRK85997,N/A
SHIP0042,ORD04376,PROD002,WH002,CUST178_ADDR,CAR001,5/28/25,5/28/25,6/1/25,6/1/25,Delivered,194,1926,Rail,TRK90355,N/A
SHIP0043,ORD01328,PROD004,WH003,CUST177_ADDR,CAR001,6/3/25,6/3/25,6/8/25,6/8/25,Delivered,30,485,Air,TRK70871,N/A
SHIP0044,ORD00344,PROD005,WH001,CUST197_ADDR,CAR003,6/6/25,6/7/25,6/11/25,6/12/25,Delayed,141,386,Ground,TRK41009,Mechanical
