Purchase Order ID,Product ID,Supplier ID,Order Date,Requested Delivery Date (Supplier),Actual Delivery Date (Supplier),Quantity Ordered,Quantity Received,Unit Cost,Total PO Value,Payment Terms,Supplier Lead Time (Standard),Supplier Quality Rating
PO0001,PROD004,SUPP004,5/29/25,6/14/25,6/12/25,379,377,90,"34,110",Net 45,16,B
PO0002,PROD003,SUPP004,5/5/25,5/21/25,5/19/25,121,119,105,"12,705",Net 45,16,A
PO0003,PROD005,SUPP001,5/14/25,5/30/25,5/29/25,356,351,60,"21,360",Net 60,16,B
PO0004,PROD001,SUPP002,4/14/25,4/30/25,5/2/25,132,128,99,"13,068",Net 45,16,C
PO0005,PROD001,SUPP004,4/15/25,4/26/25,4/25/25,341,341,175,"59,675",Net 45,11,A
PO0006,PROD002,SUPP002,4/26/25,5/7/25,5/7/25,300,297,168,"50,400",Net 60,11,C
PO0007,PROD001,SUPP001,4/22/25,5/2/25,5/2/25,355,352,73,"25,915",Net 60,10,C
PO0008,PROD003,SUPP002,4/30/25,5/16/25,5/17/25,235,233,85,"19,975",Net 30,16,A
PO0009,PROD003,SUPP004,5/4/25,5/20/25,5/18/25,124,120,93,"11,532",Net 30,16,C
PO0010,PROD005,SUPP002,4/10/25,4/30/25,5/1/25,490,487,100,"49,000",Net 30,20,A
PO0011,PROD005,SUPP002,4/14/25,4/29/25,4/30/25,77,77,150,"11,550",Net 45,15,C
PO0012,PROD002,SUPP004,4/12/25,4/23/25,4/25/25,495,492,125,"61,875",Net 45,11,C
PO0013,PROD005,SUPP002,4/28/25,5/15/25,5/18/25,234,234,47,"10,998",Net 60,17,A
PO0014,PROD002,SUPP004,4/19/25,5/6/25,5/8/25,421,421,169,"71,149",Net 60,17,C
PO0015,PROD005,SUPP002,4/11/25,4/27/25,4/25/25,178,174,151,"26,878",Net 30,16,A
PO0016,PROD004,SUPP004,4/11/25,4/25/25,4/26/25,349,345,138,"48,162",Net 60,14,B
PO0017,PROD001,SUPP003,5/12/25,5/30/25,6/2/25,108,106,76,"8,208",Net 45,18,A
PO0018,PROD004,SUPP002,4/4/25,4/19/25,4/17/25,439,435,175,"76,825",Net 30,15,A
PO0019,PROD005,SUPP003,4/30/25,5/10/25,5/8/25,38,33,108,"4,104",Net 30,10,A
PO0020,PROD001,SUPP001,5/27/25,6/16/25,6/17/25,402,401,62,"24,924",Net 45,20,A
PO0021,PROD001,SUPP003,4/26/25,5/9/25,5/10/25,40,40,141,"5,640",Net 60,13,C
PO0022,PROD002,SUPP004,5/22/25,6/6/25,6/8/25,188,188,77,"14,476",Net 45,15,A
PO0023,PROD001,SUPP003,4/22/25,5/9/25,5/10/25,305,302,183,"55,815",Net 45,17,C
PO0024,PROD003,SUPP001,4/3/25,4/17/25,4/17/25,500,497,49,"24,500",Net 60,14,B
PO0025,PROD001,SUPP004,5/24/25,6/8/25,6/9/25,187,183,90,"16,830",Net 45,15,B
PO0026,PROD004,SUPP004,5/15/25,6/4/25,6/4/25,92,92,52,"4,784",Net 45,20,A
PO0027,PROD003,SUPP003,5/27/25,6/13/25,6/12/25,382,380,72,"27,504",Net 30,17,A
PO0028,PROD005,SUPP002,5/24/25,6/4/25,6/5/25,331,329,96,"31,776",Net 60,11,A
PO0029,PROD001,SUPP003,5/1/25,5/12/25,5/12/25,222,220,162,"35,964",Net 30,11,A
