Product ID,Location ID,Date,On-Hand Quantity,Available Quantity,In-Transit Quantity,Safety Stock Level,Reorder Point,Inventory Value,Inventory Status
PROD005,RTL01,6/29/25,104,73,19,13,67,"12,343",Available
PROD004,WH001,7/4/25,890,863,136,135,106,"10,022",Available
PROD002,WH001,7/1/25,651,590,12,114,23,"19,591",Available
PROD004,WH001,6/25/25,220,208,114,50,49,"44,236",Available
PROD004,WH001,6/18/25,568,490,127,129,33,"25,472",Available
PROD005,WH002,6/14/25,377,293,79,70,132,"3,111",Available
PROD003,WH002,6/17/25,786,688,149,32,182,"49,279",Available
PROD002,RTL01,7/3/25,229,227,131,130,189,"32,168",Available
PROD003,WH002,7/3/25,484,425,166,93,134,"42,512",Available
PROD004,WH002,6/19/25,441,441,14,51,91,"24,902",Available
PROD004,WH001,6/27/25,252,236,127,102,37,"22,853",Available
PROD002,RTL02,6/10/25,183,167,193,58,99,"31,634",Available
PROD005,WH002,6/10/25,792,719,78,32,94,"23,417",Available
PROD002,WH002,7/3/25,312,249,18,64,50,"42,058",Available
PROD005,RTL02,6/24/25,403,361,6,118,26,"25,330",Available
PROD004,RTL01,6/11/25,463,379,102,40,191,"9,800",Available
PROD003,RTL02,6/10/25,931,893,61,149,123,"18,633",Available
PROD005,RTL01,7/2/25,591,518,194,113,39,"37,013",Available
PROD003,WH002,6/16/25,619,555,45,19,74,"43,790",Available
PROD002,RTL02,7/7/25,257,232,200,105,88,"22,997",Available
PROD001,WH002,6/22/25,816,754,101,40,171,"44,992",Available
PROD001,RTL02,6/27/25,668,635,144,24,115,"4,483",Available
PROD004,WH001,7/7/25,391,352,146,91,33,"32,770",Available
PROD004,WH002,6/27/25,90,1,168,94,62,"28,209",Out of Stock
PROD002,WH001,6/27/25,743,743,86,88,152,"45,896",Available
PROD005,WH002,6/18/25,246,215,135,17,183,"35,317",Available
PROD001,WH001,7/6/25,656,566,61,62,48,"23,756",Available
PROD004,WH001,7/2/25,403,394,11,18,35,"5,297",Available
PROD004,WH001,7/3/25,285,237,36,63,84,"30,690",Available
PROD002,WH001,6/26/25,684,590,41,108,164,"14,715",Available
PROD004,WH002,6/25/25,430,400,181,108,55,"19,284",Available
PROD005,RTL02,7/3/25,856,759,102,32,80,"2,669",Available
PROD003,WH001,7/7/25,922,896,83,71,99,"5,687",Available
PROD002,WH001,6/18/25,570,490,71,124,117,"41,098",Available
PROD004,WH001,7/10/25,889,879,55,42,35,"14,079",Available
PROD003,RTL02,6/29/25,928,870,29,38,194,"34,145",Available
PROD003,RTL02,7/3/25,195,176,85,142,33,"9,388",Available
PROD005,RTL01,7/4/25,608,572,61,17,58,"24,797",Available
